versione 1.0 (con cast)
 
 delta T = 0.006520s, MSE = 0.00000000702935176732922, epsilon = 0.1
 delta T = 0.006790s, MSE = 0.00000000632270946709923, epsilon = 0.1
 delta T = 0.005610s, MSE = 0.00000000638815489395483, epsilon = 0.1
 delta T = 0.005730s, MSE = 0.00000000672559519188098, epsilon = 0.1
 delta T = 0.005590s, MSE = 0.00000000643430198010719, epsilon = 0.1
 delta T = 0.005680s, MSE = 0.00000000703988733974370, epsilon = 0.1
 delta T = 0.005620s, MSE = 0.00000000646154552086387, epsilon = 0.1
 delta T = 0.005660s, MSE = 0.00000000603492189554800, epsilon = 0.1
 delta T = 0.005590s, MSE = 0.00000000684747503143512, epsilon = 0.1
 delta T = 0.005670s, MSE = 0.00000000644162101437473, epsilon = 0.1

 delta T = 0.006800s, MSE = 0.00000000000108154826241, epsilon = 0.01
 delta T = 0.006930s, MSE = 0.00000000000104794656026, epsilon = 0.01
 delta T = 0.005740s, MSE = 0.00000000000107203536413, epsilon = 0.01
 delta T = 0.005620s, MSE = 0.00000000000106361501637, epsilon = 0.01
 delta T = 0.005680s, MSE = 0.00000000000106899070759, epsilon = 0.01
 delta T = 0.005670s, MSE = 0.00000000000107285621359, epsilon = 0.01
 delta T = 0.005650s, MSE = 0.00000000000105738811804, epsilon = 0.01
 delta T = 0.005650s, MSE = 0.00000000000106607149324, epsilon = 0.01
 delta T = 0.006010s, MSE = 0.00000000000107114035523, epsilon = 0.01
 delta T = 0.005650s, MSE = 0.00000000000103968049447, epsilon = 0.01

 delta T = 0.006900s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.007290s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005900s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005780s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.005790s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005760s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.006470s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005780s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005760s, MSE = 0.00000000000001073976791, epsilon = 0.001
 delta T = 0.005780s, MSE = 0.00000000000001452136175, epsilon = 0.001

 delta T = 0.007140s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.007060s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005960s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.006710s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.006260s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.006220s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.006160s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005980s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005870s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005900s, MSE = 0.00000000000000000000000, epsilon = 0.0001

 delta T = 0.001170s, MSE = 16033.19824218750000000000000, epsilon = 1
 delta T = 0.001310s, MSE = 16025.71679687500000000000000, epsilon = 1
 delta T = 0.001270s, MSE = 16017.90332031250000000000000, epsilon = 1
 delta T = 0.001200s, MSE = 16015.80371093750000000000000, epsilon = 1
 delta T = 0.001120s, MSE = 16008.47753906250000000000000, epsilon = 1
 delta T = 0.000960s, MSE = 16022.96582031250000000000000, epsilon = 1
 delta T = 0.000970s, MSE = 16024.60156250000000000000000, epsilon = 1
 delta T = 0.000950s, MSE = 16019.15234375000000000000000, epsilon = 1
 delta T = 0.000980s, MSE = 16020.57812500000000000000000, epsilon = 1
 delta T = 0.000990s, MSE = 16036.15917968750000000000000, epsilon = 1

versione2.0 (for condensati)
 delta T = 0.006690s, MSE = 0.00000000702935176732922, epsilon = 0.1
 delta T = 0.007020s, MSE = 0.00000000632270946709923, epsilon = 0.1
 delta T = 0.005680s, MSE = 0.00000000638815489395483, epsilon = 0.1
 delta T = 0.005580s, MSE = 0.00000000672559519188098, epsilon = 0.1
 delta T = 0.005670s, MSE = 0.00000000643430198010719, epsilon = 0.1
 delta T = 0.005590s, MSE = 0.00000000703988733974370, epsilon = 0.1
 delta T = 0.005570s, MSE = 0.00000000646154552086387, epsilon = 0.1
 delta T = 0.005560s, MSE = 0.00000000603492189554800, epsilon = 0.1
 delta T = 0.005580s, MSE = 0.00000000684747503143512, epsilon = 0.1
 delta T = 0.005660s, MSE = 0.00000000644162101437473, epsilon = 0.1

